new2kid,option_choice,option_hectares,farm_payment,farm_costs,farm_net,benefits_total,benefits_ghg_farm,benefits_ghg_dispfood,benefits_ghg_forestry,benefits_ghg_soil_forestry,benefits_rec,benefits_flooding,benefits_totn,benefits_totp,benefits_water_non_use,benefits_water_rec,benefits_pollination_yield,benefits_pollination_non_use,costs_total,costs_farm,costs_forestry,costs_timber,costs_grass,costs_hay,costs_rec,env_out_ghg,env_out_sng_rec,env_out_wood_rec,env_out_sng_norec,env_out_wood_norec,env_out_flood,env_out_tot_n,env_out_tot_p,env_out_pollinators,es_out_ghg,es_out_rec,es_out_flood,es_out_tot_n,es_out_tot_p,es_out_water_non_use,es_out_water_rec,es_out_poll_yield,es_out_poll_non_use,bcr
82590,2,279.142515645403,1101119.76654819,971262.346982931,129857.419565261,1320068.67541873,2222873.33721224,-1258046.92209632,0,0,36064.8173141082,319177.442988704,0,0,-2.82051323245177e-10,0,0,0,844575.953898201,1930697.38716428,0,-0,494659.439756152,-1627002.09119035,46221.2181681153,256.213546158727,279.142515645403,0,0,0,-0.017773761286486,-0.0579647502996815,-0.0168431907883488,38.6865370650229,964826.415115921,36064.8173141082,319177.442988704,0,0,-2.82051323245177e-10,0,0,0,1.19884204745221
82591,2,230.396001150279,805075.825225251,730723.712976182,74352.1122490687,977659.110721354,1646815.98930655,-965602.224198773,0,0,33005.6959710129,263439.649642563,0,0,-2.32796845169163e-10,0,0,0,635411.924327115,1527976.1096858,0,-0,408277.315218542,-1342879.54956163,42038.048984405,180.497842144555,230.396001150279,0,0,0,-0.0146699384589911,-0.0478423956517101,-0.013901873010188,33.2278523693826,681213.765107778,33005.6959710129,263439.649642563,0,0,-2.32796845169163e-10,0,0,0,1.21436898250897
83237,2,220.044910947658,708800.671737835,619743.027913893,89057.6438239418,698186.800862155,1518928.9413687,-931800.91775704,0,0,106510.270985237,473.923968999584,3157.67491640025,916.90737986043,0,0,0,0,538906.98079469,1390425.66007559,0,-0,389934.482459242,-1282547.48095207,41094.3192119224,155.415669503134,220.044910947658,0,0,0,-0.0124689864835972,-0.0628226056958626,-0.01860764377965,29.8007531082355,587128.023611658,106510.270985237,473.923968999584,3157.67491640025,916.90737986043,0,0,0,0,0.985025591398415
83238,2,180.891225930528,470036.997481875,340688.193379038,129348.804102836,412742.531551414,988401.463534396,-632401.975333146,0,0,45297.0074713343,1193.93575652424,7945.20899192628,2306.89113037969,0,0,0,0,296250.602938294,992730.182573695,0,-0,320551.501331547,-1054337.43113794,37306.3501709881,93.8375907063777,180.891225930528,0,0,0,-0.013708035428865,-0.0869480347671566,-0.0251959567819527,26.743915987264,355999.48820125,45297.0074713343,1193.93575652424,7945.20899192628,2306.89113037969,0,0,0,0,0.878106476219098
83239,2,179.849416556254,448834.045098715,337741.48182223,111092.563276485,423107.817306854,960590.481079445,-616183.484173353,0,0,33333.0953738912,42689.8658671569,2075.29680953738,602.56235017757,-3.74486783703841e-11,0,0,0,293688.245062809,986047.852279322,0,-0,318705.344574594,-1048265.17078502,37200.2189939136,87.6446222264263,179.849416556254,0,0,0,-0.0104694811710945,-0.0486423305858494,-0.0143610671921762,27.1734091666832,344406.996906091,33333.0953738912,42689.8658671569,2075.29680953738,602.56235017757,-3.74486783703841e-11,0,0,0,0.942682093587168
83240,2,178.85421340924,442934.540812999,307037.96333969,135896.577473309,470716.512942742,935471.527613564,-596406.936399298,0,0,22875.3495365889,108776.572191887,0,0,-9.61238859410314e-11,0,0,0,266989.53333886,955413.766055069,0,-0,316941.777208272,-1042464.55815671,37098.5482322305,86.0967909094458,178.85421340924,0,0,0,-0.010026245507019,-0.0357344612716678,-0.0105981145742181,27.1815297676647,339064.591214266,22875.3495365889,108776.572191887,0,0,-9.61238859410314e-11,0,0,0,1.06272252346532
83241,2,179.97690067278,466712.803434758,323655.037023705,143057.766411052,577856.355285643,955763.693180377,-605723.126252671,0,0,22026.4021694786,205789.386188459,0,0,-1.81852351910476e-10,0,0,0,281439.162629309,974302.906103069,0,-0,318931.255061619,-1049008.2210642,37213.2225288224,92.529344833243,179.97690067278,0,0,0,-0.0114596175442624,-0.0373727236895025,-0.0108596330033012,28.1339542804206,350040.566927705,22026.4021694786,205789.386188459,0,0,-1.81852351910476e-10,0,0,0,1.23814121025377
83242,2,178.532117230236,466595.595427967,404230.40359184,62365.1918361274,564437.851062939,991945.271351487,-628492.517788625,0,0,674.113698922706,199840.560367648,290.363284998402,86.7611042549994,81.8639915807481,11.4350526724032,0,0,351504.698775513,1038655.31331222,0,-0,316371.000968454,-1040587.19757052,37065.5820653625,93.1110174067936,178.532117230236,0,0,0,-0.011644093323345,-0.0381881748964885,-0.011099313580166,27.1942231003045,363452.753562861,674.113698922706,199840.560367648,290.363284998402,86.7611042549994,81.8639915807481,11.4350526724032,0,0,1.20969391180221
83243,2,181.181868949093,490816.562069485,487282.359278048,3534.2027914371,544432.41760662,1049528.04252507,-661937.23912972,0,0,926.373916917254,149618.376589494,3886.72160393075,1161.34584316506,1095.73948103909,153.056776721291,0,0,423723.790676563,1121352.81097731,0,-0,321066.540441229,-1056031.46473186,37335.9039898844,99.4772856997968,181.181868949093,0,0,0,-0.0152374264768418,-0.0525550009167658,-0.0153078989945293,27.8821886183075,387590.803395353,926.373916917254,149618.376589494,3886.72160393075,1161.34584316506,1095.73948103909,153.056776721291,0,0,1.10923807320411
83882,2,187.399796626085,669584.759591266,391151.195799078,278433.563792188,581435.690665312,1307462.24292526,-744857.580520947,0,0,18826.5193594462,3.39781060963049,0.853081615893336,0.258009322626434,-3.10803738667122e-13,0,0,0,340131.474607894,1062356.86130139,0,-0,332085.129329538,-1092273.1003349,37962.5843118641,149.792026043587,187.399796626085,0,0,0,-0.008933717601452,-0.0561391930641474,-0.0164659340067792,30.8026645268926,562604.662404318,18826.5193594462,3.39781060963049,0.853081615893336,0.258009322626434,-3.10803738667122e-13,0,0,0,0.86835263547551
