new2kid,option_choice,option_hectares,farm_payment,farm_costs,farm_net,benefits_total,benefits_ghg_farm,benefits_ghg_dispfood,benefits_ghg_forestry,benefits_ghg_soil_forestry,benefits_rec,benefits_flooding,benefits_totn,benefits_totp,benefits_water_non_use,benefits_water_rec,benefits_pollination_yield,benefits_pollination_non_use,costs_total,costs_farm,costs_forestry,costs_timber,costs_grass,costs_hay,costs_rec,env_out_ghg,env_out_sng_rec,env_out_wood_rec,env_out_sng_norec,env_out_wood_norec,env_out_flood,env_out_tot_n,env_out_tot_p,env_out_pollinators,es_out_ghg,es_out_rec,es_out_flood,es_out_tot_n,es_out_tot_p,es_out_water_non_use,es_out_water_rec,es_out_poll_yield,es_out_poll_non_use,bcr
79980,1,22.507440433473,602150.42955136,287178.739052848,314971.690498513,2285454.70992419,158344.536536844,-122243.350030959,0,0,2212264.39197204,0,0,0,0,0,1327.46206857575,35761.6693776853,249720.64265465,327536.509527185,0,-0,39884.7085311424,-131186.224240814,13485.648837137,9.23524093472264,22.507440433473,0,0,0,-0.000842420540615882,-0.0103276211399947,-0.00590800439399628,2.46300960529849,36101.1865058849,2212264.39197204,0,0,0,0,0,1327.46206857575,35761.6693776853,3.79548796739544
80637,3,14.5843286595953,375277.474976734,349286.384012686,25991.0909640484,987812.350253786,101576.358696589,-56695.1144340158,157375.559851918,72637.7751005259,640280.199855918,58093.291811212,0,0,-1.55990456925649e-10,0,1953.89044904737,12590.3889225917,302545.77046183,197298.664554105,129682.624110224,-35389.3674099721,0,-0,10953.8492074727,42.2236947453853,0,14.5843286595953,0,0,-0.00507297685850067,-0.00850173644607388,-0.00224419678772175,2.13332232284466,274894.579215018,640280.199855918,58093.291811212,0,0,-1.55990456925649e-10,0,1953.89044904737,12590.3889225917,2.63221860122307
81284,3,10.0087114629604,261295.665464645,245221.104523666,16074.5609409782,689960.605067561,73226.4913711649,-37043.3757674064,101365.574281889,49864.070215904,479309.949974017,7848.93129960287,0,0,0,0,4039.55612300626,11349.4075693837,212063.796726965,126966.216672225,99757.6384385983,-23820.8285420199,0,-0,9160.77015816235,28.9246140647492,0,10.0087114629604,0,0,-0.00312570915318613,-0.00838291544502725,-0.00230984804331421,2.28125004258501,187412.760101551,479309.949974017,7848.93129960287,0,0,0,0,4039.55612300626,11349.4075693837,2.64053597613512
83241,6,179.97690067278,289933.329837161,280859.83111556,9073.49872160173,555829.953116164,955763.693180377,-605723.126252671,0,0,0,205789.386188459,0,0,-1.81852351910476e-10,0,0,0,244225.940100487,974302.906103069,0,-0,318931.255061619,-1049008.2210642,0,92.529344833243,0,0,179.97690067278,0,-0.0114596175442624,-0.0373727236895025,-0.0108596330033012,28.1339542804206,350040.566927705,0,205789.386188459,0,0,-1.81852351910476e-10,0,0,0,1.91709574552309
83882,6,187.399796626085,365879.842089334,347494.223840434,18385.6182489003,562609.171305866,1307462.24292526,-744857.580520947,0,0,0,3.39781060963049,0.853081615893336,0.258009322626434,-3.10803738667122e-13,0,0,0,302168.89029603,1062356.86130139,0,-0,332085.129329538,-1092273.1003349,0,149.792026043587,0,0,187.399796626085,0,-0.008933717601452,-0.0561391930641474,-0.0164659340067792,30.8026645268926,562604.662404318,0,3.39781060963049,0.853081615893336,0.258009322626434,-3.10803738667122e-13,0,0,0,1.53768835170891
83886,2,175.652696698814,390660.041276031,354331.340062296,36328.7012137343,763920.724842143,1086762.21899156,-644701.676994201,0,0,260472.424593219,685.631377549085,5609.41457520829,1646.01693077966,0,0,0,53446.6953680266,308114.208749823,983880.479884258,0,-0,311268.472807874,-1023804.28933023,36769.5453879214,117.68609954865,175.652696698814,0,0,0,-0.0114242589234588,-0.0682176193716848,-0.020052326768524,31.1595368132278,442060.54199736,260472.424593219,685.631377549085,5609.41457520829,1646.01693077966,0,0,0,53446.6953680266,1.95546163960592
84535,6,177.485366588636,319314.418305785,302133.069386709,17181.3489190761,494897.428983087,1144167.84276694,-655334.155138766,0,0,0,0,4710.68830623347,1353.05304868353,0,0,0,0,262724.408162356,982694.456899203,0,-0,314516.087951205,-1034486.13668805,0,130.028250953643,0,0,177.485366588636,0,-0.0120020900732513,-0.0738110608597071,-0.0212328937070054,35.6725704513945,488833.68762817,0,0,4710.68830623347,1353.05304868353,0,0,0,0,1.54987498406401
84536,6,190.421238135215,341186.576698172,297912.364512775,43274.2121853974,531254.960520843,1213556.42828374,-692772.351056649,0,0,0,838.28363061452,7474.11378367787,2158.48587945606,0,0,0,0,259054.230011108,1031498.68971971,0,-0,337439.328279513,-1109883.78798811,0,138.635063817114,0,0,190.421238135215,0,-0.0149950203048834,-0.0879973339489275,-0.0251865351355786,43.6796774258851,520784.077227095,0,838.28363061452,7474.11378367787,2158.48587945606,0,0,0,0,1.55708048558667
85184,6,178.344327606797,229191.031682341,222631.530335744,6559.50134659646,355282.514873014,953646.533389156,-602865.619439662,0,0,0,181.32515792326,3349.21752639882,971.058239197497,-2.41075404400263e-10,0,0,0,193592.63507456,917047.062371706,0,-0,316038.225039614,-1039492.65233676,0,92.7501234305774,0,0,178.344327606797,0,-0.0109424487548325,-0.0681262678140807,-0.0199060114876075,28.8482760443538,350780.913949495,0,181.32515792326,3349.21752639882,971.058239197497,-2.41075404400263e-10,0,0,0,1.55015888826503
85186,6,202.584045727329,412222.374605269,345404.189745579,66818.18485969,636457.456246911,1394126.49019682,-761627.632914088,0,0,0,0,2697.06490222704,761.05811206749,0,0,500.47594988391,0,300351.469343982,1122134.40322193,0,-0,358992.646932771,-1180775.58081072,0,168.745741918326,0,0,202.584045727329,0,-0.0141628053106468,-0.0585615307997087,-0.0165485819989261,55.4230605315162,632498.857282732,0,0,2697.06490222704,761.05811206749,0,0,500.47594988391,0,1.54396630424625
91038,3,40.8343100508991,899819.921025039,854903.592654077,44916.3283709615,1975256.71584173,407191.303706722,-182269.452658884,474380.086709076,296191.526966526,840833.500338312,127059.495464205,0,0,-7.27286439812589e-11,0,3752.85651375548,8117.39880201373,740011.047576278,530490.180731629,265281.354318485,-73750.042138859,0,-0,17989.5546650227,151.155624008971,0,40.8343100508991,0,0,-0.00602806036281987,-0.0137486690521655,-0.00578280421367804,2.43795160624543,995493.464723441,840833.500338312,127059.495464205,0,0,-7.27286439812589e-11,0,3752.85651375548,8117.39880201373,2.1951689106767
