new2kid,option_choice,option_hectares,farm_payment,farm_costs,farm_net,benefits_total,benefits_ghg_farm,benefits_ghg_dispfood,benefits_ghg_forestry,benefits_ghg_soil_forestry,benefits_rec,benefits_flooding,benefits_totn,benefits_totp,benefits_water_non_use,benefits_water_rec,benefits_pollination_yield,benefits_pollination_non_use,costs_total,costs_farm,costs_forestry,costs_timber,costs_rec,env_out_ghg,env_out_sng_rec,env_out_wood_rec,env_out_sng_norec,env_out_wood_norec,env_out_flood,env_out_tot_n,env_out_tot_p,env_out_pollinators,es_out_ghg,es_out_rec,es_out_flood,es_out_tot_n,es_out_tot_p,es_out_water_non_use,es_out_water_rec,es_out_poll_yield,es_out_poll_non_use,bcr
54620,3,55.4409837252585,1211132,1211131.67060081,0.329399188049138,2444520.64162757,364648.996656286,-163659.104448504,402008.508265481,275725.888415451,1267889.76229618,1135.85044651679,0,0,0,0,213193.068784826,83577.6712113305,1053157.97443549,762973.156071846,396880.268264425,-127573.729702921,20878.2798021376,141.950620169718,0,55.4409837252585,0,0,-0.00765513812837541,-0.0982236638116678,-0.0412883094496182,13.2697339149311,878724.288888713,1267889.76229618,1135.85044651679,0,0,0,0,213193.068784826,83577.6712113305,2.01837672658931
54621,3,68.9153935688478,1713319,1713318.5983528,0.401647204067558,3276483.43325983,451052.328414275,-303311.027352774,697688.449557404,343261.497735999,1638342.19027755,0,0,0,0,0,314196.483477652,135253.511149723,1489842.25943721,1145327.71838743,485025.012314648,-163730.108403292,23219.6371384303,171.268270558249,0,68.9153935688478,0,0,-0.00928467850455026,-0.120192892358598,-0.0501063126103993,19.7923187173204,1188691.2483549,1638342.19027755,0,0,0,0,0,314196.483477652,135253.511149723,1.91236041464539
57217,3,39.0406629041985,1227226,1227226.4673147,-0.467314697103575,2384669.8373896,277796.628862148,-279699.087905255,395241.442597466,194458.09894002,1700264.84954547,0,4469.7792625339,1516.59239063981,-4.11049910385276e-13,0,34182.4386543144,56439.0950422614,1067153.44983887,852670.75700019,289634.803065637,-92753.3260483369,17601.2158213769,76.9645834589205,0,39.0406629041985,0,0,-0.00726994929661976,-0.0896907304132655,-0.0305288714132965,5.68018659002876,587797.082494379,1700264.84954547,0,4469.7792625339,1516.59239063981,-4.11049910385276e-13,0,34182.4386543144,56439.0950422614,1.94313829513847
57872,3,72.0126478054554,1530230,1530230.27465459,-0.274654585169628,2867435.05402208,413708.700032642,-211571.613716768,728453.900275081,358513.448003671,1303105.17202855,0,0,0,0,0,178574.711616984,96650.7357819125,1330635.02143877,972095.824089984,505266.862484057,-170452.145086759,23724.4799514874,188.624616127582,0,72.0126478054554,0,0,-0.010569607753683,-0.176657288190152,-0.0670293338496712,18.7246556383552,1289104.43459463,1303105.17202855,0,0,0,0,0,178574.711616984,96650.7357819125,1.87385886698214
58522,3,49.6183520786831,1199981,1199980.537863,0.462136997142807,2321790.54404738,287587.554679208,-200857.927086713,537972.750495935,246874.047124601,1285836.28753557,0,0,0,0,0,22675.0018050909,141702.829493685,1043461.33727218,784638.731269625,358794.587818646,-119750.697049677,19778.7152335825,124.794106500732,0,49.6183520786831,0,0,-0.00742034142344846,-0.118092570836411,-0.0424197438618405,20.2794392932236,871576.425213031,1285836.28753557,0,0,0,0,0,22675.0018050909,141702.829493685,1.93485608859422
64376,3,31.3378677812652,703158,703158.405384689,-0.405384688870981,1368670.42041715,227416.829163938,-110167.884894158,307786.832132151,156114.352604463,756673.560970321,293.215875618074,0,0,-3.56405715619052e-11,0,11011.0425248992,19542.4720399129,611442.09163886,430739.850564441,239259.21628709,-74378.9561312757,15821.9809186046,90.5701244361939,0,31.3378677812652,0,0,-0.00285972942460963,-0.0254448675338348,-0.00983848595634165,10.002743079522,581150.129006395,756673.560970321,293.215875618074,0,0,-3.56405715619052e-11,0,11011.0425248992,19542.4720399129,1.94646213285939
65677,1,29.1255298999598,485151,485150.742278819,0.257721181376837,967659.242225284,227629.443303545,-113342.830534668,0,0,811775.281316418,0,0,0,3.29443876769084e-12,0,16083.4551438535,25513.8929961358,421870.210677234,406598.821511621,0,-0,15271.3891656122,30.3829536077938,29.1255298999598,0,0,0,-0.000403674428568417,-0.0286037527305101,-0.0204003671607018,13.5657450442197,114286.612768877,811775.281316418,0,0,0,3.29443876769084e-12,0,16083.4551438535,25513.8929961358,1.99455271085762
75441,3,42.0460706337319,948235,948234.988523122,0.0114768784260377,1853019.86724822,259832.254321161,-138324.067111934,425141.305349233,209271.628030045,1052192.34602881,6217.0818281465,959.241470339009,292.76729982481,-5.22958731318905e-11,0,0,37437.3100325959,824552.163933149,596353.851451086,309277.598628019,-99326.3865461019,18247.1004001464,111.272486436989,0,42.0460706337319,0,0,-0.0140388697212747,-0.0478484965743397,-0.0164922236953741,9.79619266123387,755921.120588506,1052192.34602881,6217.0818281465,959.241470339009,292.76729982481,-5.22958731318905e-11,0,0,37437.3100325959,1.95417788549065
77392,3,40.5059904063843,911676,911675.620266796,0.379733204492368,1878634.97143486,240256.606030795,-126207.37419547,497948.659592899,200134.849802002,1038492.18961742,9152.90731002303,1767.09626867969,488.066116726978,-9.8137423130475e-11,0,4467.17106844752,12134.7998233385,792761.408927648,574803.000846438,298690.748797174,-98651.4590587524,17919.1183427886,112.62614209826,0,40.5059904063843,0,0,-0.0218732495598422,-0.0180083788908011,-0.00556068438500701,9.20192880440654,812132.741230225,1038492.18961742,9152.90731002303,1767.09626867969,488.066116726978,-9.8137423130475e-11,0,4467.17106844752,12134.7998233385,2.06063883598434
79980,1,22.507440433473,392175,392175.48211897,-0.482118970190641,2285454.70992419,158344.536536844,-122243.350030959,0,0,2212264.39197204,0,0,0,0,0,1327.46206857575,35761.6693776853,341022.158364322,327536.509527185,0,-0,13485.648837137,9.23524093472264,22.507440433473,0,0,0,-0.000842420540615882,-0.0103276211399947,-0.00590800439399628,2.46300960529849,36101.1865058849,2212264.39197204,0,0,0,0,0,1327.46206857575,35761.6693776853,5.82763998195751
79986,3,31.7734678970234,670439,670438.973803373,0.0261966265970841,1341608.16651258,209802.147446247,-115540.345908738,391786.938732552,157341.271781749,549257.839584526,121856.476639134,0,0,-2.10293355515173e-10,0,4099.78618471514,23004.0520523997,582990.412002933,438234.655566429,207492.492767871,-78664.8107290604,15928.0743976931,90.8435912017281,0,31.7734678970234,0,0,-0.0141048865768389,-0.0446139808130244,-0.0126206668818343,4.19657738435109,643390.012051809,549257.839584526,121856.476639134,0,0,-2.10293355515173e-10,0,4099.78618471514,23004.0520523997,2.00108908716913
80636,3,12.5586441963836,399465,399465.374941834,-0.374941834015772,877687.470701083,96739.9730878036,-94678.0192075751,136950.832801982,62532.929918859,601442.373215697,49510.277154854,0,0,-1.38034862387917e-10,0,3647.86104591113,21541.2426835522,347361.195601595,251259.809752492,116432.705137612,-30532.3368132837,10201.0175247746,29.3084498963507,0,12.5586441963836,0,0,-0.00433143965013404,-0.0071923354188743,-0.00190300540639393,2.8995188332453,201545.716601069,601442.373215697,49510.277154854,0,0,-1.38034862387917e-10,0,3647.86104591113,21541.2426835522,2.19715737474143
80637,3,14.5843286595953,347928,347927.636031104,0.363968895981088,987812.350253786,101576.358696589,-56695.1144340158,157375.559851918,72637.7751005259,640280.199855918,58093.291811212,0,0,-1.55990456925649e-10,0,1953.89044904737,12590.3889225917,302545.77046183,197298.664554105,129682.624110224,-35389.3674099721,10953.8492074727,42.2236947453853,0,14.5843286595953,0,0,-0.00507297685850067,-0.00850173644607388,-0.00224419678772175,2.13332232284466,274894.579215018,640280.199855918,58093.291811212,0,0,-1.55990456925649e-10,0,1953.89044904737,12590.3889225917,2.83912864228745
81284,3,10.0087114629604,243873,243873.36623601,-0.366236010275315,689960.605067561,73226.4913711649,-37043.3757674064,101365.574281889,49864.070215904,479309.949974017,7848.93129960287,0,0,0,0,4039.55612300626,11349.4075693837,212063.796726965,126966.216672225,99757.6384385983,-23820.8285420199,9160.77015816235,28.9246140647492,0,10.0087114629604,0,0,-0.00312570915318613,-0.00838291544502725,-0.00230984804331421,2.28125004258501,187412.760101551,479309.949974017,7848.93129960287,0,0,0,0,4039.55612300626,11349.4075693837,2.82917996279851
81929,1,17.6891054388987,296151,296151.110241005,-0.110241004673298,687513.612287192,114863.626710126,-66931.5897867653,0,0,635889.137164797,0,0,0,0,0,3451.0044445479,241.433754485641,257522.704557395,245510.177646842,0,-0,12012.5269105532,12.3548343552552,17.6891054388987,0,0,0,-0.000583338773859659,-0.00303294463909143,-0.00138556848347082,3.58638818007818,47932.0369233611,635889.137164797,0,0,0,0,0,3451.0044445479,241.433754485641,2.32149684548488
81934,3,10.3306362065982,248774,248774.498257262,-0.498257261904655,485084.282151558,77558.2837903703,-40002.1303651649,105701.000124408,51786.8030059447,278088.683286934,8517.02312482959,100.820605800998,27.6066597453668,0,0,2071.74175196809,1234.45016672241,216325.650658489,130881.420818287,101890.779534573,-25745.4381619584,9298.88846758776,30.5693201681454,0,10.3306362065982,0,0,-0.0036900688220849,-0.0109634822385832,-0.00292589049520593,0.554455653739168,195043.956555558,278088.683286934,8517.02312482959,100.820605800998,27.6066597453668,0,0,2071.74175196809,1234.45016672241,1.94989943543762
83923,3,15.8555572843351,365772,365771.955064733,0.0449352667783387,813864.832652874,93566.3020159454,-43541.5044697506,196703.196374788,78935.7544153413,485135.984088634,0,2.11233578349206,0.720970056286817,0,0,146.458881458088,2915.80804061762,318062.569621507,209025.423001445,137995.220513463,-40357.8346275756,11399.7607341742,46.5210659098954,0,15.8555572843351,0,0,-0.00166694224964639,-0.0244204321379443,-0.00761648204306865,0.860447636585701,325663.748336324,485135.984088634,0,2.11233578349206,0.720970056286817,0,0,146.458881458088,2915.80804061762,2.22506050942356
85828,3,11.8521895020873,286636,286636.411744454,-0.411744454060681,713123.79947967,85568.5879916586,-46327.477266468,119049.262052469,58706.9571962048,489354.599237658,4917.89179254808,307.313890005548,93.4681868885804,-3.51377930171192e-11,0,0,1453.19639870512,249249.05369083,154997.84453865,111609.776922352,-27282.8973134184,9924.32954324599,33.0590783705072,0,11.8521895020873,0,0,-0.0047327172671783,-0.0245492964313918,-0.00710711575805514,0.382829429150378,216997.329973864,489354.599237658,4917.89179254808,307.313890005548,93.4681868885804,-3.51377930171192e-11,0,0,1453.19639870512,2.48790730919937
