new2kid,option_choice,option_hectares,farm_payment,farm_costs,farm_net,benefits_total,benefits_ghg_farm,benefits_ghg_dispfood,benefits_ghg_forestry,benefits_ghg_soil_forestry,benefits_rec,benefits_flooding,benefits_totn,benefits_totp,benefits_water_non_use,benefits_water_rec,benefits_pollination_yield,benefits_pollination_non_use,costs_total,costs_farm,costs_forestry,costs_timber,costs_grass,costs_hay,costs_rec,env_out_ghg,env_out_sng_rec,env_out_wood_rec,env_out_sng_norec,env_out_wood_norec,env_out_flood,env_out_tot_n,env_out_tot_p,env_out_pollinators,es_out_ghg,es_out_rec,es_out_flood,es_out_tot_n,es_out_tot_p,es_out_water_non_use,es_out_water_rec,es_out_poll_yield,es_out_poll_non_use,bcr
65677,1,29.1255298999598,390809.923039298,349280.749037705,41529.1740015932,967659.242225284,227629.443303545,-113342.830534668,0,0,811775.281316418,0,0,0,3.29443876769084e-12,0,16083.4551438535,25513.8929961358,303722.39046757,406598.821511621,0,-0,51612.4112072443,-169760.231416908,15271.3891656122,30.3829536077938,29.1255298999598,0,0,0,-0.000403674428568417,-0.0286037527305101,-0.0204003671607018,13.5657450442197,114286.612768877,811775.281316418,0,0,0,3.29443876769084e-12,0,16083.4551438535,25513.8929961358,2.47603549751213
79980,1,22.507440433473,923029.864563964,287178.739052848,635851.125511117,2285454.70992419,158344.536536844,-122243.350030959,0,0,2212264.39197204,0,0,0,0,0,1327.46206857575,35761.6693776853,249720.64265465,327536.509527185,0,-0,39884.7085311424,-131186.224240814,13485.648837137,9.23524093472264,22.507440433473,0,0,0,-0.000842420540615882,-0.0103276211399947,-0.00590800439399628,2.46300960529849,36101.1865058849,2212264.39197204,0,0,0,0,0,1327.46206857575,35761.6693776853,2.47603549751213
80637,1,14.5843286595953,242638.149858932,171454.799946895,71183.3499120371,600780.672101382,101576.358696589,-56695.1144340158,0,0,540616.855719099,98.440899365824,0,0,-1.16011425566456e-10,0,2039.84867248647,13144.2825478567,149091.130388604,197298.664554105,0,-0,25844.4179572394,-85005.8013302128,10953.8492074727,12.35446991368,14.5843286595953,0,0,0,-0.000440027382113736,-0.00208653135362962,-0.000780406889250866,2.22717435891154,44881.2442625736,540616.855719099,98.440899365824,0,0,-1.16011425566456e-10,0,2039.84867248647,13144.2825478567,2.47603549751213
81284,1,10.0087114629604,136717.714481698,109855.603350502,26862.1111311958,338517.914195411,73226.4913711649,-37043.3757674064,0,0,283340.297211122,0,0,0,0,0,4985.99879036143,14008.502590169,95526.611609132,126966.216672225,0,-0,17736.1144485713,-58336.4896698264,9160.77015816235,9.80917635981866,10.0087114629604,0,0,0,-0.000279412416745909,-0.0021369854599785,-0.00087515032335086,2.81573262172578,36183.1156037586,283340.297211122,0,0,0,0,0,4985.99879036143,14008.502590169,2.47603549751213
81929,1,17.6891054388987,277667.106541079,213631.800045456,64035.3064956228,687513.612287192,114863.626710126,-66931.5897867653,0,0,635889.137164797,0,0,0,0,0,3451.0044445479,241.433754485641,185766.782648222,245510.177646842,0,-0,31346.2926489795,-103102.214558153,12012.5269105532,12.3548343552552,17.6891054388987,0,0,0,-0.000583338773859659,-0.00303294463909143,-0.00138556848347082,3.58638818007818,47932.0369233611,635889.137164797,0,0,0,0,0,3451.0044445479,241.433754485641,2.47603549751213
85828,1,11.8521895020873,183638.343732486,134370.281850609,49268.0618818772,454695.057785969,85568.5879916586,-46327.477266468,0,0,414001.164026304,0,103.932431564818,47.1005419182234,-3.32104481485883e-11,0,0,1301.75006099188,116843.723348356,154997.84453865,0,-0,21002.8823643397,-69081.3330978802,9924.32954324599,10.7560055844206,11.8521895020873,0,0,0,-0.000734322957951977,-0.00695007454695502,-0.00312744915157094,0.351599706264329,39241.1107251905,414001.164026304,0,103.932431564818,47.1005419182234,-3.32104481485883e-11,0,0,1301.75006099188,2.47603549751213
85846,1,10.052237708378,112496.398596061,110058.604653434,2437.79394262667,278545.07626612,66170.5727525058,-31179.2426813832,0,0,243033.682937796,0,0,0,46.5100182788882,6.60097392245247,0,466.952265000001,95703.134481247,127300.500904008,0,-0,17813.245902815,-58590.1855002605,9179.57317468449,9.41286935465704,10.052237708378,0,0,0,-0.000506341795959486,-0.00169054716365817,-0.000954633202192994,0.276554254020013,34991.3300711227,243033.682937796,0,0,0,46.5100182788882,6.60097392245247,0,466.952265000001,2.47603549751213
86478,1,13.6600797979335,222129.106241481,161036.939520291,61092.1667211903,549999.552084549,96505.5410846806,-53642.7574245385,0,0,505106.720394489,0,0,0,-4.71066573342655e-12,0,0,2030.04802991783,140032.121321992,184826.973409909,0,-0,24206.5863892038,-79618.7508222411,10617.3123451201,11.8683928225283,13.6600797979335,0,0,0,-0.000834435640360794,-0.0109963360108971,-0.00479729373202173,0.971786795079562,42862.783660142,505106.720394489,0,0,0,-4.71066573342655e-12,0,0,2030.04802991783,2.47603549751213
87780,1,10.2593569335206,123773.306206278,116368.192004546,7405.11420173213,306467.099811182,74365.183903291,-39974.5841107015,0,0,267658.795175809,0,0,0,-4.4013615678074e-11,0,4025.21919976121,392.485643021842,101189.732177866,133538.357196732,0,-0,18180.2751947696,-59797.3946982345,9268.49448459837,9.61264144776191,10.2593569335206,0,0,0,-0.000814671796146799,-0.00346392049626478,-0.00150658439987564,0.468168520152674,34390.5997925895,267658.795175809,0,0,0,-4.4013615678074e-11,0,4025.21919976121,392.485643021842,2.47603549751213
88432,1,14.8086784627437,195236.427864814,168106.45157686,27129.9762879539,483412.325800746,102165.780491897,-53919.5381556386,0,0,432159.964456772,0,28.0016758192912,10.7009827678986,0,0,2385.47732821369,581.939020915073,146179.523110313,195217.06514643,0,-0,26241.9810001824,-86313.4401828489,11033.9171465499,13.0928702261093,14.8086784627437,0,0,0,-0.000295174138130888,-0.00612804928188571,-0.0025076734091136,0.249498159677339,48246.2423362579,432159.964456772,0,28.0016758192912,10.7009827678986,0,0,2385.47732821369,581.939020915073,2.47603549751213
