prices1,prices2,prices3,prices4,prices5,prices6,prices7,prices8,prices9,prices10
0,0,790301.106943795,21196.1290251108,0,327354.17126667,0,187288.239855368,195804.023706805,0
29858.8794427753,39166.8469415691,378613.656216584,0,0,58129.2330925131,25539.479924259,0,168909.089276225,370007.060838471
34313.4321839179,48970.0889288879,322891.061497588,5453.49182755695,0,69684.5543201932,84.7445492303541,0,271100.666418032,253927.868596784
0,79884.0809765041,316887.307094939,40688.9556911956,0,190312.915874875,0,0,310049.158008445,149617.173225851
0,0,313915.986882198,13145.2474333275,115510.020293158,20978.5792582168,0,66736.1880864181,354939.633804554,160812.205377799
173531.544430464,81498.8304308672,475418.938034683,15912.7086376194,0,1312445.11095066,0,7813.18438579741,391109.29800481,49756.348407242
0,52190.7464136228,421144.038974251,0,0,584107.330317241,0,0,273700.565122728,339801.114693673
71250.9511853944,0,384616.472510377,126.427783197011,0,1615203.44088834,0,1108.12865977269,281772.756840542,382655.313430966
160525.886731572,73097.1086845168,446391.829210828,23229.4178079376,157065.39900031,260844.20709968,0,0,248566.563155989,118381.987607334
65767.0081752499,87354.9109781305,546912.033190113,37522.5934048454,0,1195651.03345885,0,0,368062.380724587,132838.251439226
0,115818.77239668,724482.686856597,73380.9861182796,0,358482.217318652,25917.636469196,0,242257.051940197,2513.38666989614
22849.6507421157,60185.1488773122,562296.578751849,0,79345.9360808971,0,222637.797976056,389924.568963144,257913.675985903,132293.763986326
295389.594359055,0,404059.30245155,0,0,548633.854444873,432767.696274013,0,271662.014102542,133290.37325951
0,63612.9682206633,658156.471022231,12404.1372432828,0,245812.55100016,62044.1767038617,0,201331.27826183,133455.03852591
15343.0362604256,49580.016745419,607771.329442551,8901.16627134606,0,58908.0628479097,212406.666930575,0,171828.71842525,285248.134046963
